week_end_date,onl_tot_imp,onl_tot_inv,off_tv_tot_grp,off_tv_tot_inv,off_tv_con_grp,off_tv_con_inv,off_tv_unc_grp,off_tv_unc_inv,comp_tv_tot_grp,comp_tv_tot_inv,mkt_tp_tot_num,mkt_tp_tot_inv,dm_tot_num,dm_tot_inv,tm_tot_num,tm_tot_inv,sov,som,n_stores,hicp,w_days,n_appointments,asp,sales_units,sales_amount
03/01/2021,252088,10352,0,0,0,0,0,0,0,0,1238,11840,0,0,0,0,0.0,0.0,206,0.4,4.0,169,768,126,115161
10/01/2021,387786,13974,0,0,0,0,0,0,10,3028,2890,27626,0,0,0,0,0.0,0.0,206,0.4,5.0,662,843,515,446454
17/01/2021,1097761,17718,0,0,0,0,0,0,1,2019,2890,27626,0,0,0,0,0.0,0.0,206,0.4,5.0,705,832,555,444432
24/01/2021,921880,17334,0,0,0,0,0,0,2,2019,2890,27626,0,0,0,0,0.0,0.0,206,0.4,5.0,797,807,593,454151
31/01/2021,895035,18793,0,0,0,0,0,0,12,5047,2890,27626,0,0,0,0,0.0,0.0,206,0.4,4.0,517,777,354,281454
07/02/2021,852344,17613,0,0,0,0,0,0,11,6562,3426,41137,0,0,0,0,0.0,0.0,206,1.1,5.0,740,833,550,474570
14/02/2021,850858,16193,0,0,0,0,0,0,10,6562,3426,41137,0,0,0,0,0.0,0.0,206,1.1,5.0,821,771,610,520509
21/02/2021,655299,13031,0,0,0,0,0,0,19,15143,3426,41137,0,0,0,0,0.0,0.0,206,1.1,5.0,794,861,565,453257
28/02/2021,450367,12475,0,0,0,0,0,0,21,16657,3426,41137,0,0,0,0,0.0,0.0,206,1.1,5.0,858,822,571,451875
07/03/2021,392113,13917,0,0,0,0,0,0,25,20191,3041,33971,0,0,66516,46840,0.0,0.0,206,0.8,4.8,890,809,584,466286
14/03/2021,355759,14234,0,0,0,0,0,0,9,8581,3041,33971,0,0,63744,44889,0.0,0.0,206,0.8,4.6,799,805,555,455502
21/03/2021,350829,14008,0,0,0,0,0,0,3,2019,3041,33971,0,0,69287,48792,0.0,0.0,206,0.8,5.0,935,806,623,476917
28/03/2021,320950,11637,0,0,0,0,0,0,0,0,3041,33971,0,0,69287,48792,0.0,0.0,206,0.8,5.0,896,799,601,452033
04/04/2021,311839,12559,0,0,0,0,0,0,0,0,2908,33622,0,0,52771,37162,0.0,0.0,208,2.5,4.0,640,804,404,324476
11/04/2021,503659,16783,192,352395,181,280151,11,72244,4,2523,2809,33361,0,0,44797,31546,0.977192911796048,0.991071428571429,208,2.5,4.0,622,813,424,366620
18/04/2021,386543,17071,175,320687,161,262988,14,57699,22,16657,2809,33361,0,0,55996,39433,0.878834226374022,0.94043321299639,208,2.5,5.0,777,784,521,462888
25/04/2021,303618,14081,155,370366,147,296809,8,73557,24,19686,2809,33361,0,0,55996,39433,0.858619103231871,0.937799043062201,208,2.5,5.0,1031,833,696,591297
02/05/2021,285906,11927,0,0,0,0,0,0,13,6562,2889,33609,11522,1566,49277,34701,0.0,0.0,208,3.3,4.4,1034,852,761,639385
09/05/2021,335806,12587,172,316159,152,243807,20,72352,12,11105,3089,34231,0,0,44828,31568,0.924797274880084,0.956435643564356,208,3.3,4.8,1217,911,857,768629
16/05/2021,407003,13240,129,285585,118,219073,11,66512,10,8076,3089,34231,0,0,46696,32883,0.918785845827758,0.964444444444444,208,3.3,5.0,1141,915,806,750980
23/05/2021,422568,14027,112,263124,107,231692,5,31432,13,7571,3089,34231,0,0,46696,32883,0.887506093198146,0.968354430379747,208,3.3,5.0,1111,847,761,729139
30/05/2021,289309,11083,0,0,0,0,0,0,9,5047,3089,34231,0,0,46696,32883,0.0,0.0,208,3.3,5.0,1132,941,801,727897
06/06/2021,296965,11136,95,182045,87,147899,8,34146,8,5047,2816,31725,0,0,42294,29784,0.908948705302273,0.966996699669967,208,3.5,5.0,1246,931,833,732891
13/06/2021,245875,10309,115,215894,109,185253,6,30641,9,6057,2771,31307,0,0,39546,27848,0.92179438313969,0.968337730870712,208,3.5,4.8,1201,937,777,673708
20/06/2021,238996,11702,120,249093,112,204939,8,44154,12,6057,2771,31307,0,0,36251,25528,0.900551246310932,0.971291866028708,208,3.5,4.4,1004,859,670,599044
27/06/2021,242919,10817,2,39217,2,29277,0,9940,138,99441,2771,31307,0,0,41194,29009,0.0179511063200542,0.227450980392157,208,3.5,5.0,1183,880,857,787477
04/07/2021,279283,10079,105,161272,100,142347,5,18925,159,96412,2776,29585,0,0,47072,33148,0.386273748759253,0.596194503171247,209,2.1,5.0,1061,904,761,705701
11/07/2021,252272,10437,94,140306,87,119127,7,21179,136,74202,2780,28294,0,0,55890,39358,0.392113800152165,0.616187989556136,209,2.1,5.0,1153,963,790,719606
18/07/2021,301161,11264,0,0,0,0,0,0,155,89345,2780,28294,0,0,55890,39358,0.0,0.0,209,2.1,5.0,1065,905,710,675849
25/07/2021,457246,17644,0,0,0,0,0,0,0,0,2780,28294,0,0,55890,39358,0.0,0.0,209,2.1,5.0,912,907,647,597085
01/08/2021,539666,13292,47,94399,43,71173,4,23226,0,0,2756,28532,0,0,55890,39358,1.0,1.0,210,2.5,5.0,1022,909,658,616892
08/08/2021,432335,12696,95,119610,90,104488,5,15122,29,22714,2618,29963,0,0,23174,16319,0.752446063910138,0.821428571428571,210,2.5,4.8,981,875,676,594521
15/08/2021,465744,12521,104,12493,96,10600,8,1893,23,15648,2618,29963,0,0,24140,16999,0.8058904094876,0.403846153846154,210,2.5,5.0,975,856,665,589695
22/08/2021,419261,12278,46,128108,44,102469,2,25639,45,23219,2618,29963,0,0,24140,16999,0.497578689327918,0.815261044176707,210,2.5,5.0,918,919,686,634930
29/08/2021,375430,12635,103,220307,97,172129,6,48178,61,24734,2618,29963,0,0,24140,16999,0.612362457692958,0.874358974358974,210,2.5,5.0,887,912,653,600050
05/09/2021,361869,12793,67,135554,61,104488,6,31066,66,37858,2436,29730,0,0,32849,23132,0.47758284628886,0.734042553191489,211,3.1,5.0,901,908,616,554255
12/09/2021,332558,12782,85,135508,78,103479,7,32029,60,34829,2364,29636,0,0,38655,27221,0.564640834342597,0.748175182481752,211,3.1,5.0,905,898,598,518457
19/09/2021,313126,12136,13,30452,12,23219,1,7233,58,37858,2364,29636,0,0,38655,27221,0.172162670235529,0.380165289256198,211,3.1,5.0,975,878,702,666055
26/09/2021,555781,13010,0,0,0,0,0,0,58,34324,2364,29636,0,0,37109,26132,0.0,0.0,211,3.1,4.8,884,907,612,594961
03/10/2021,277139,10030,100,115398,92,91364,8,24034,41,23219,2394,29474,0,0,38822,27339,0.68939483449054,0.797356828193833,211,3.0,4.8,894,948,566,553472
10/10/2021,258131,9487,86,84743,82,72687,4,12056,38,22210,2434,29259,0,0,41556,29264,0.684036768992292,0.765957446808511,211,3.0,4.4,1043,922,629,599342
17/10/2021,195253,9397,88,108544,82,86821,6,21723,52,40886,2434,29259,0,0,47222,33254,0.61030091862097,0.679841897233202,211,3.0,5.0,1170,953,688,709937
24/10/2021,200009,9988,0,0,0,0,0,0,58,44925,2434,29259,0,0,47222,33254,0.0,0.0,211,3.0,5.0,1174,968,741,724773
31/10/2021,192909,10814,84,116747,77,91364,7,25383,56,40382,2434,29259,0,0,47222,33254,0.578077640911783,0.693486590038314,211,3.0,5.0,1085,970,675,642128
07/11/2021,157616,8734,80,81504,76,69154,4,12350,8,20695,2476,32404,0,0,34643,24396,0.902938064700369,0.769662921348315,214,3.2,4.8,994,1034,674,614679
14/11/2021,131302,8678,81,93667,75,71173,6,22494,33,30286,2476,32404,0,0,36087,25412,0.0,0.0,214,3.2,5.0,1162,881,750,683123
21/11/2021,164210,9225,0,0,0,0,0,0,40,62592,2476,32404,0,0,36087,25412,0.0,0.0,214,3.2,5.0,1064,959,728,675104
28/11/2021,92648,7462,65,88804,60,68144,5,20660,29,21200,2476,32404,0,0,36087,25412,0.0,0.0,214,3.2,5.0,1058,948,696,657824
05/12/2021,98320,8158,61,85717,59,68144,2,17573,28,17162,1909,21928,0,0,33533,23614,0.0,0.0,219,3.5,5.0,959,941,650,563635
12/12/2021,92641,9736,63,90377,58,68144,5,22233,0,0,1683,17737,0,0,31831,22415,0.0,0.0,219,3.5,5.0,983,864,565,490169
19/12/2021,0,0,0,0,0,0,0,0,0,0,1683,17737,0,0,31831,22415,0.0,0.0,219,3.5,5.0,883,970,537,510596
26/12/2021,14451,571,0,0,0,0,0,0,0,0,1683,17737,0,0,29284,20622,0.0,0.0,219,3.5,4.6,640,943,369,383449
02/01/2022,328484,12443,0,0,0,0,0,0,0,0,1985,20344,0,0,17825,12552,0.0,0.0,220,4.0,2.8,198,960,103,102533
09/01/2022,226926,10458,0,0,0,0,0,0,42,31296,2742,26859,0,0,14193,7255,0.0,0.0,220,4.0,4.0,506,861,365,317982
16/01/2022,157252,11297,0,0,0,0,0,0,34,29781,2742,26859,0,0,17741,9069,0.0,0.0,220,4.0,5.0,708,844,442,414638
23/01/2022,154359,11070,165,147499,151,117613,14,29886,33,38867,2742,26859,0,0,17741,9069,0.0,0.0,220,4.0,5.0,813,912,437,402424
30/01/2022,122999,11986,151,136798,143,117613,8,19185,24,24734,2742,26859,0,0,14193,7255,0.853509854047781,0.826241134751773,220,4.0,4.0,727,991,402,388080
06/02/2022,253355,12462,132,142228,123,117108,9,25120,0,0,1977,27263,38450,2407,19816,13774,0.870704006313489,1.0,220,4.9,5.0,1099,933,621,598696
13/02/2022,409867,16246,0,0,0,0,0,0,2,5552,1849,27331,0,0,20334,14950,0.0,0.0,220,4.9,5.0,1082,912,624,570704
20/02/2022,367657,17371,0,0,0,0,0,0,48,20191,1849,27331,0,0,20334,14950,0.0,0.0,220,4.9,5.0,1012,917,616,576579
27/02/2022,170417,14291,138,161554,129,130737,9,30817,141,42906,1849,27331,0,0,20334,14950,0.478341128314046,0.752906976744186,220,4.9,5.0,1033,928,645,581672
06/03/2022,319210,13231,114,101465,104,89345,10,12120,133,41391,1954,33923,0,0,13621,10974,0.439431851724584,0.683397683397683,221,5.7,5.0,908,918,584,582046
13/03/2022,362432,14339,72,89870,70,79250,2,10620,122,39372,1972,35022,0,0,11465,9581,0.365929001817047,0.668085106382979,221,5.7,4.8,1018,971,646,614581
20/03/2022,346113,13742,75,105293,70,84297,5,20996,130,42906,1972,35022,0,0,10988,9182,0.349968209182884,0.662698412698413,221,5.7,4.6,909,945,626,588896
27/03/2022,260239,13106,0,0,0,0,0,0,0,0,1972,35022,0,0,11943,9981,0.0,0.0,221,5.7,5.0,1144,955,773,727918
03/04/2022,339161,15465,140,204199,127,152442,13,51757,0,0,2006,35127,0,0,14842,11826,1.0,1.0,221,5.5,5.0,988,996,723,725528
10/04/2022,298746,14553,121,160671,111,121146,10,39525,0,0,2053,35267,0,0,26440,19210,1.0,1.0,221,5.5,5.0,1059,968,721,706622
